Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"212 Voortrekker Rd, Monument Ext 1, Krugersdorp, 1739, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"35 Viljoen St, Krugersdorp North, Krugersdorp, 1741, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"7 Monument St, Krugersdorp, 1740, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"Geba St, Kagiso, Krugersdorp, 1754, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"1 Azaad Ave, Azaadville, Krugersdorp, 1750, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"29 General Pienaar Ave, Straat, Witpoortje, 1725, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"7 Mustard St, Zakariyya Park, 1821, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"69 Flemming Ave, Krugersdorp West, Krugersdorp, 1739, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"Rustenburg Rd, Oatlands, Krugersdorp, 1739, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"353 Jorissen St, Paardeplaats 177 IQ, Krugersdorp, 1739, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"Kagiso, Krugersdorp, 1754, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"Tom Muller St, Luipaardsvlei 246 IQ, Krugersdorp, 1743, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"8-10 Golden Hwy, Zakariyya Park, 1821, South Africa",Krugersdorp,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"140,643.00","820,995.00"
"0D Bekker Rd, Halfway Gardens, Midrand, 1686, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"353 Alexandra Rd, Halfway Gardens, Midrand, 1686, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"525 Nupen Cres, Halfway House, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Langevelt Rd, Vorna Valley, Midrand, 1686, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"306 Kyalami Blvd, Kyalami Park, Midrand, 1684, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Shop No. 185, First Floor, Midrand City Shopping Centre, Old Pretoria Rd, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"42 Bottlebrush St, Noordwyk, Midrand, 1687, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
Riverview Office Park,Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Barbeque Downs Business Park, Midrand",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"44 Alsatian Rd, Glen Austin AH, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Rena Rd, Kyalami AH, Midrand, 1684, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Corner Waterfall Drive &amp; Simlak Drive Waterfall, 1 Country Estate Dr, Waterval City, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Riverview Office Park, Janadel Ave, Halfway Gardens, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Cnr. 8th and 10th Roads, Erand, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"6 TFT House, Challenger Avenue, New Rd, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Spaces Waterfall Magwa Crescent, Ground Floor, Gateway West Office Building, Waterfall City, 2192, Midrand, 2066, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Cnr Smut Drive and, Alexandra Rd, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Unit A, Alphen Square West, 338 George St, Randjespark, Midrand, 1683, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"43 Norfolk Rd, Carlswald, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Le Roux Ave, Halfway House, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
Riverview Office Park,Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"96 Major Rd, Clayville East, Olifantsfontein, 1666, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"M105 Floor 1 Boulders Shop Ctr, Pretoria Main Rd, Midrand, 1683, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Business Park, 57 Kyalami Blvd, Kyalami Estate, Midrand, 1684, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"1st Floor, Halfway House Shopping Centre, cnr. North &amp;, Old Pretoria Rd, Midrand, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"46 Ash Rd, Witpoort (Beaulieu), Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Le Roux Ave, Halfway House, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"78 Alsatian Rd, Glen Austin AH, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"162 Runnymead Ave, Zevenfontein 407-Jr, Midrand, 2191, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Allandale Park, Morkels Cl, Halfway House, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Die Eike Building, 17 Long St, Kempton Park, Midrand, 1619, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"44 Alsatian Rd, Glen Austin Extn 3, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"44 Alsatian Rd, Glen Austin Extn 3, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"0D Bekker Rd, Halfway Gardens, Midrand, 1686, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Langevelt Rd, Vorna Valley, Midrand, 1686, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"306 Kyalami Blvd, Kyalami Park, Midrand, 1684, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Shop No. 185, First Floor, Midrand City Shopping Centre, Old Pretoria Rd, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"46 Ash Rd, Witpoort (Beaulieu), Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"140 Mount St, Bryanston, Sandton, 2192, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"1st Floor, Halfway House Shopping Centre, cnr. North &amp;, Old Pretoria Rd, Midrand, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"60 Runnymead Ave, Chartwell, 2055, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"162 Runnymead Ave, Zevenfontein 407-Jr, Midrand, 2191, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"78 Alsatian Rd, Glen Austin AH, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"43 Norfolk Rd, Carlswald, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Business Park, 57 Kyalami Blvd, Kyalami Estate, Midrand, 1684, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"525 Nupen Cres, Halfway House, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Corner Waterfall Drive &amp; Simlak Drive Waterfall, 1 Country Estate Dr, Waterval City, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Riverview Office Park, Janadel Ave, Halfway Gardens, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"6 TFT House, Challenger Avenue, New Rd, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Spaces Waterfall Magwa Crescent, Ground Floor, Gateway West Office Building, Waterfall City, 2192, Midrand, 2066, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Cnr Smut Drive and, Alexandra Rd, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Unit A, Alphen Square West, 338 George St, Randjespark, Midrand, 1683, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"42 Bottlebrush St, Noordwyk, Midrand, 1687, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Allandale Park, Morkels Cl, Halfway House, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Cnr. 8th and 10th Roads, Erand, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"44 Alsatian Rd, Glen Austin AH, Midrand, 1685, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"Rena Rd, Kyalami AH, Midrand, 1684, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"M105 Floor 1 Boulders Shop Ctr, Pretoria Main Rd, Midrand, 1683, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"353 Alexandra Rd, Halfway Gardens, Midrand, 1686, South Africa",Midrand,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"181,411.00","5,600,000.00"
"2 Paul Kruger Ave, Horison, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"42 Stokoe St, Roodepoort West, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"4, 6 Kingfisher St, Horison Park, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Van Vuuren St, Allen&#x27;s Nek, Roodepoort, 1737, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"59 Boerneef Ave, Helderkruin, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Brand Head Office, 10 Erasmus Rd, Radiokop, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Florida, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"38 Mare St, Roodepoort, 1725, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"144 Peter Rd, Ruimsig, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Cnr Elias Motsoaledi &amp; Main Reef Roads, Roodepoort, 1725, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"6 Hinsbeeck Ave, Florida Park, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"243 Ontdekkers Rd, Horison, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"28 Pioneer Ave, Florida Park, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"3 Webber Ave, Horizon View, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"29 General Pienaar Ave, Straat, Witpoortje, 1725, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"6 Kingfisher St, Horison Park, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Peter Rd, Ruimsig, Roodepoort, 1732, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"59, The Village @ Horizon, Sonop St, Horizon, Roodepoort, 1730, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"2 Konig Ave, Horison, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"1 Slabbert St, Discovery, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Dromedaris St &amp; Hugenoot St, Witpoortjie, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"2 Erasmus Rd, Radiokop, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"43 Goldman St, Florida, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"1st Floor, Morson House, 3 Edward St, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"2 Konig Ave, Horison, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"1 Slabbert St, Discovery, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"130 Kilburn St, Horison, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Florida, Roodepoort, 1710, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"4, 6 Kingfisher St, Horison Park, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"2 Paul Kruger Ave, Horison, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"1 Natalie St, Florida, Roodepoort, 1710, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Phapha Building, Christiaan de Wet Rd &amp; Pioneer Avenue, Florida, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"42 Stokoe St, Roodepoort West, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"43 Goldman St, Florida, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"1st Floor, Morson House, 3 Edward St, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"144 Peter Rd, Ruimsig, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"8 Olyfboom Ave, Weltevredenpark, Roodepoort, 1706, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"447 Ann Rd, Ruimsig, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"28 Pioneer Ave, Florida Park, Roodepoort, 1709, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"3 Webber Ave, Horizon View, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"6 Kingfisher St, Horison Park, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Dromedaris St &amp; Hugenoot St, Witpoortjie, Roodepoort, 1724, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Horizon Office Park, 157 Ontdekkers Rd, Horizon View, 1714, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"10351 Copenhagen Street, Ext 9, Cosmo City",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"144 Peter Rd, Ruimsig, Roodepoort",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Monash University South Africa, 144 Peter Road",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
144 Peter Rd. Ruimsig,Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
Chillout,Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
Monash South Africa,Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
Monash South Africa,Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
Monash South Africa,Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Lenasia South, Roodepoort 302-Iq, 1835, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"Lenasia South, Roodepoort 302-Iq, 1835, South Africa",Roodepoort,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"326,416.00","5,600,000.00"
"34 Ebury Ave, Bryanston, Sandton, 2021, South Africa",Sandton,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"222,415.00","5,600,000.00"
"Old Potchefstroom Road, Diepkloof Zone 6, Diepkloof, 1862, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Cnr Alekhine &amp; Stanton Rd, Protea South, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"4131, Chiawelo, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"3346, Chiawelo, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Diepkloof 319-Iq, Soweto, 1862, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"337, Meadowlands East Zone 4, Meadowlands East, 1852, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"1644, Moletsane, Soweto, 1868, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"406, Maponya Mall, 2127 Chris Hani Rd, Klipspruit, Soweto, 2127, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Crn 104 Red Current &amp; Protea Boulevard Str, Shop 49 Sizwe Shopping Centre, Protea Glen, Soweto, 1819, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"8642, 8642 Immink Dr, Diepkloof Zone 6, Diepmeadow, 1864, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"9306 Ngobese St, Orlando West, Soweto, 1804, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"8032 Bacela St, Orlando West, Soweto, 1804, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
Molapo,Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"University of Johannesburg, Soweto",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"999, Mofolo North, Soweto, 1801, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"8032 Bacela St, Orlando West, Soweto, 1804, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"2282 Florida St, Evaton West, Evaton, 1980, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"1644, Moletsane, Soweto, 1868, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"3346, Chiawelo, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Modjadji Street &amp; Old Potch Road, Pimville Zone 1, Pimville, 1809, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"406, Maponya Mall, 2127 Chris Hani Rd, Klipspruit, Soweto, 2127, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Crn 104 Red Current &amp; Protea Boulevard Str, Shop 49 Sizwe Shopping Centre, Protea Glen, Soweto, 1819, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"9306 Ngobese St, Orlando West, Soweto, 1804, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Old Potchefstroom Road, Diepkloof Zone 6, Diepkloof, 1862, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Cnr Alekhine &amp; Stanton Rd, Protea South, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"4131, Chiawelo, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Diepkloof 319-Iq, Soweto, 1862, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Orange Farm, 1805, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Orlando, Soweto, 1803, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"535, Evaton Central, Evaton, 1985, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"02065 Mampona St, Moroka, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Mncube Dr, Dube, Soweto, 1801, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"14 Matomela St, Dobsonville, Soweto, 1863, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"1809 Chris Hani Rd, Klipspruit, Soweto, 1809, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Vundla St, Moroka, Soweto, 1818, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"5110, Diepkloof Zone 5, Diepmeadow, 1862, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
"Soweto, South Africa",Soweto,Education,Orange,City of Johannesburg Metropolitan Municipality,N/A,"1,895,921.00","5,600,000.00"
